t psi theta phi
2.656328 -10.838758 1.032386 43.782933
2.661331 -10.858965 1.032433 43.865634
2.666333 -10.879174 1.032483 43.948333
2.671336 -10.899384 1.032535 44.031031
2.676338 -10.919596 1.032589 44.113727
2.681341 -10.939809 1.032646 44.196421
2.686343 -10.960024 1.032705 44.279113
2.691346 -10.980241 1.032766 44.361803
2.696348 -11.000459 1.032830 44.444491
2.701351 -11.020680 1.032895 44.527176
2.706353 -11.040902 1.032964 44.609859
2.711356 -11.061126 1.033034 44.692540
2.716358 -11.081353 1.033106 44.775218
2.721361 -11.101581 1.033181 44.857893
2.726363 -11.121812 1.033258 44.940566
2.731366 -11.142044 1.033337 45.023236
2.736368 -11.162280 1.033418 45.105904
2.741371 -11.182517 1.033501 45.188568
2.746373 -11.202757 1.033586 45.271230
2.751376 -11.223000 1.033673 45.353888
2.756378 -11.243245 1.033762 45.436544
2.761381 -11.263492 1.033854 45.519196
2.766383 -11.283742 1.033947 45.601845
2.771386 -11.303995 1.034041 45.684490
2.776388 -11.324251 1.034138 45.767133
2.781391 -11.344510 1.034237 45.849772
2.786393 -11.364771 1.034337 45.932407
2.791396 -11.385036 1.034439 46.015039
2.796398 -11.405303 1.034543 46.097667
2.801401 -11.425573 1.034649 46.180291
2.806403 -11.445847 1.034756 46.262912
2.811406 -11.466124 1.034865 46.345529
2.816408 -11.486403 1.034976 46.428142
2.821411 -11.506687 1.035088 46.510751
2.826413 -11.526973 1.035201 46.593356
2.831416 -11.547263 1.035316 46.675957
2.836418 -11.567556 1.035433 46.758553
2.841421 -11.587852 1.035551 46.841146
2.846423 -11.608152 1.035670 46.923735
2.851426 -11.628456 1.035790 47.006319
2.856428 -11.648763 1.035912 47.088899
2.861431 -11.669073 1.036035 47.171474
2.866433 -11.689388 1.036160 47.254046
2.871436 -11.709706 1.036285 47.336612
2.876438 -11.730027 1.036412 47.419175
2.881441 -11.750353 1.036539 47.501732
2.886443 -11.770682 1.036668 47.584285
2.891446 -11.791015 1.036798 47.666834
2.896448 -11.811351 1.036928 47.749378
2.901451 -11.831692 1.037060 47.831917
2.906453 -11.852037 1.037192 47.914451
2.911456 -11.872385 1.037325 47.996981
2.916458 -11.892737 1.037459 48.079506
2.921461 -11.913094 1.037594 48.162026
2.926463 -11.933454 1.037730 48.244542
2.931466 -11.953819 1.037866 48.327052
2.936468 -11.974187 1.038002 48.409558
2.941471 -11.994560 1.038139 48.492058
2.946473 -12.014936 1.038277 48.574554
2.951476 -12.035317 1.038415 48.657044
2.956478 -12.055702 1.038554 48.739530
2.961481 -12.076091 1.038693 48.822011
2.966483 -12.096484 1.038832 48.904487
2.971486 -12.116881 1.038971 48.986957
2.976488 -12.137283 1.039111 49.069423
2.981491 -12.157688 1.039251 49.151884
2.986493 -12.178098 1.039391 49.234339
2.991496 -12.198512 1.039531 49.316790
2.996498 -12.218930 1.039671 49.399235
3.001501 -12.239353 1.039811 49.481675
3.006503 -12.259779 1.039951 49.564111
3.011506 -12.280210 1.040091 49.646541
3.016508 -12.300645 1.040231 49.728966
3.021511 -12.321084 1.040370 49.811386
3.026513 -12.341528 1.040510 49.893801
3.031516 -12.361975 1.040649 49.976211
3.036518 -12.382427 1.040787 50.058616
3.041521 -12.402883 1.040926 50.141015
3.046523 -12.423343 1.041063 50.223410
3.051526 -12.443808 1.041201 50.305800
3.056528 -12.464276 1.041337 50.388185
3.061531 -12.484749 1.041474 50.470564
3.066533 -12.505226 1.041609 50.552939
3.071536 -12.525707 1.041744 50.635309
3.076538 -12.546192 1.041878 50.717674
3.081541 -12.566681 1.042012 50.800034
3.086543 -12.587174 1.042144 50.882389
3.091546 -12.607671 1.042276 50.964740
3.096548 -12.628172 1.042407 51.047085
3.101551 -12.648677 1.042537 51.129426
3.106553 -12.669186 1.042666 51.211762
3.111556 -12.689699 1.042794 51.294093
3.116558 -12.710216 1.042920 51.376419
3.121561 -12.730737 1.043046 51.458741
3.126563 -12.751262 1.043170 51.541059
3.131566 -12.771790 1.043294 51.623371
3.136568 -12.792323 1.043416 51.705680
3.141571 -12.812858 1.043537 51.787983
3.146573 -12.833398 1.043656 51.870283
3.151576 -12.853941 1.043774 51.952577
3.156578 -12.874488 1.043891 52.034868
3.161581 -12.895039 1.044006 52.117154
3.166583 -12.915593 1.044119 52.199436
